year,nzsioc,nzsioc_descriptor,variable,units,magnitude,source,data_value
2023,AA111,Horticulture and fruit growing,Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,230.74
2007,AA121,"Sheep, beef cattle, and grain farming",Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,986.29
2007,AA121,"Sheep, beef cattle, and grain farming",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,27532.39
2007,AA121,"Sheep, beef cattle, and grain farming",Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,23025.95
2007,AA121,"Sheep, beef cattle, and grain farming",Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3519.82
2007,AA121,"Sheep, beef cattle, and grain farming",Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.34
2007,AA121,"Sheep, beef cattle, and grain farming",Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.34
2007,AA121,"Sheep, beef cattle, and grain farming",Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,986289.49
2007,AA121,"Sheep, beef cattle, and grain farming",Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,27532394.74
2007,AA121,"Sheep, beef cattle, and grain farming",Nitrous oxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,3519816.57
2007,AA121,"Sheep, beef cattle, and grain farming",Methane,Tonnes,Carbon dioxide equivalents,Environmental accounts,23025945.74
2007,AA121,"Sheep, beef cattle, and grain farming",Hydrofluorocarbons,Tonnes,Carbon dioxide equivalents,Environmental accounts,342.93
2007,AA121,"Sheep, beef cattle, and grain farming",Fluorinated gases,Tonnes,Carbon dioxide equivalents,Environmental accounts,342.93
2008,AA121,"Sheep, beef cattle, and grain farming",Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1006.03
2008,AA121,"Sheep, beef cattle, and grain farming",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,25996.58
2008,AA121,"Sheep, beef cattle, and grain farming",Methane,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,21595.19
2008,AA121,"Sheep, beef cattle, and grain farming",Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3394.9
2008,AA121,"Sheep, beef cattle, and grain farming",Hydrofluorocarbons,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.46
2008,AA121,"Sheep, beef cattle, and grain farming",Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,0.46
2008,AA121,"Sheep, beef cattle, and grain farming",Carbon dioxide,Tonnes,Carbon dioxide equivalents,Environmental accounts,1006031.54
2008,AA121,"Sheep, beef cattle, and grain farming",Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,25996581.36
